epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,1060.35,0.57918,0.66033,0.78901,0.93766,0.98476,1,0.995,0.92528,0.98476,1,0.995,0.92837,0.39801,0.50086,0.85318,0.84844,0.000812,0.000812,0.000812
32,1082.04,0.56236,0.61633,0.76481,0.89833,0.98295,1,0.995,0.92278,0.98295,1,0.995,0.87818,0.41876,0.59674,0.80208,0.88201,0.0007724,0.0007724,0.0007724
33,1104.67,0.52246,0.59135,0.67822,0.87829,0.98311,1,0.995,0.90033,0.98311,1,0.995,0.84783,0.47459,0.72408,0.77265,0.98072,0.0007328,0.0007328,0.0007328
34,1125.31,0.5131,0.57092,0.65707,0.89089,0.98643,1,0.995,0.92171,0.98643,1,0.995,0.87839,0.48603,0.62259,0.72959,0.965,0.0006932,0.0006932,0.0006932
35,1145.75,0.53918,0.63892,0.6845,0.93062,0.97888,1,0.995,0.91158,0.97888,1,0.995,0.91659,0.49181,0.55441,0.72268,0.95465,0.0006536,0.0006536,0.0006536
36,1165.87,0.50196,0.64747,0.73157,0.91686,0.97599,1,0.995,0.89085,0.97599,1,0.995,0.91121,0.49701,0.56889,0.73581,0.96998,0.000614,0.000614,0.000614
37,1186.12,0.48364,0.58522,0.60701,0.89947,0.98342,1,0.995,0.8697,0.98342,1,0.995,0.89634,0.46947,0.51473,0.75659,0.93467,0.0005744,0.0005744,0.0005744
38,1206.49,0.47509,0.62752,0.65001,0.89197,0.98341,1,0.995,0.90373,0.98341,1,0.995,0.91818,0.41536,0.48992,0.726,0.89914,0.0005348,0.0005348,0.0005348
39,1227.07,0.38087,0.48326,0.55628,0.85841,0.90843,0.99276,0.96773,0.92197,0.99008,1,0.995,0.91529,0.35736,0.47763,0.74111,0.85203,0.0004952,0.0004952,0.0004952
40,1248,0.47929,0.61219,0.61247,0.92139,0.90832,0.99147,0.98591,0.94758,0.99216,1,0.995,0.91817,0.33722,0.45917,0.72383,0.84673,0.0004556,0.0004556,0.0004556
41,1269.23,0.38524,0.47355,0.70085,0.85582,0.90857,0.99432,0.98591,0.91554,0.99265,1,0.995,0.91111,0.38402,0.46787,0.75799,0.8761,0.000416,0.000416,0.000416
42,1290.33,0.41282,0.47191,0.69184,0.89523,0.98984,1,0.995,0.9281,0.98984,1,0.995,0.92326,0.35353,0.47875,0.7501,0.855,0.0003764,0.0003764,0.0003764
43,1311.19,0.37495,0.49537,0.67367,0.86382,0.9841,1,0.995,0.94868,0.9841,1,0.995,0.92075,0.31288,0.4907,0.67227,0.83378,0.0003368,0.0003368,0.0003368
44,1332.14,0.38079,0.43994,0.65162,0.83759,1,0.98032,0.995,0.95685,1,0.98032,0.995,0.88601,0.28496,0.50998,0.63525,0.8311,0.0002972,0.0002972,0.0002972
45,1352.61,0.38624,0.47161,0.61796,0.84977,1,0.99112,0.995,0.95686,1,0.99112,0.995,0.92802,0.28171,0.51257,0.62215,0.83625,0.0002576,0.0002576,0.0002576
46,1373.55,0.36374,0.416,0.58275,0.80889,1,0.99062,0.995,0.93053,1,0.99062,0.995,0.92076,0.29365,0.50834,0.62194,0.84558,0.000218,0.000218,0.000218
47,1394.94,0.34486,0.41615,0.56909,0.82343,0.98028,0.9,0.98591,0.92464,0.98028,0.9,0.98591,0.92496,0.28953,0.49736,0.61101,0.849,0.0001784,0.0001784,0.0001784
48,1415.39,0.35349,0.43646,0.60448,0.83437,0.98032,0.9,0.98591,0.92361,0.98032,0.9,0.98591,0.91069,0.27648,0.48515,0.61319,0.83831,0.0001388,0.0001388,0.0001388
49,1435.51,0.3396,0.40442,0.58442,0.86046,1,0.98173,0.995,0.93674,1,0.98173,0.995,0.92011,0.26781,0.47842,0.59672,0.82457,9.92e-05,9.92e-05,9.92e-05
50,1455.24,0.33673,0.38886,0.57074,0.84333,1,0.98509,0.995,0.94297,1,0.98509,0.995,0.92507,0.26912,0.47404,0.59829,0.82475,5.96e-05,5.96e-05,5.96e-05
