epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,1087.4,0.3863,0.3718,0.40032,0.978,0.99335,1,0.995,0.93159,0.99335,1,0.995,0.95631,0.36866,0.43507,0.5327,1.0113,0.0007724,0.0007724,0.0007724
33,1121.47,0.35409,0.36555,0.39531,0.93914,0.99691,1,0.995,0.91636,0.99691,1,0.995,0.995,0.40729,0.25737,0.52159,1.03257,0.0007328,0.0007328,0.0007328
34,1154.48,0.38574,0.3796,0.41082,0.98919,0.99728,1,0.995,0.95495,0.99728,1,0.995,0.995,0.34568,0.25278,0.47423,0.99828,0.0006932,0.0006932,0.0006932
35,1187.01,0.35909,0.34763,0.38949,0.96915,0.9974,1,0.995,0.92454,0.9974,1,0.995,0.995,0.3489,0.27387,0.49022,1.00323,0.0006536,0.0006536,0.0006536
36,1218.73,0.361,0.3857,0.38601,0.95105,0.99744,1,0.995,0.93765,0.99744,1,0.995,0.995,0.34383,0.26967,0.46872,0.98819,0.000614,0.000614,0.000614
37,1251.58,0.33869,0.34211,0.35718,0.93163,0.99732,1,0.995,0.96242,0.99732,1,0.995,0.995,0.29136,0.25199,0.42637,0.93358,0.0005744,0.0005744,0.0005744
38,1283.81,0.35284,0.3656,0.37239,0.96681,0.99736,1,0.995,0.97289,0.99736,1,0.995,0.995,0.27157,0.24916,0.40617,0.92105,0.0005348,0.0005348,0.0005348
39,1316.82,0.33055,0.34219,0.35285,0.95864,0.99743,1,0.995,0.97413,0.99743,1,0.995,0.995,0.27656,0.25273,0.4051,0.92936,0.0004952,0.0004952,0.0004952
40,1349.19,0.31287,0.35721,0.34619,0.94751,0.99748,1,0.995,0.93829,0.99748,1,0.995,0.995,0.31902,0.25204,0.40972,0.98444,0.0004556,0.0004556,0.0004556
41,1378.03,0.2914,0.25364,0.56781,1.00627,0.9971,1,0.995,0.95142,0.9971,1,0.995,0.995,0.30487,0.2498,0.47664,0.94469,0.000416,0.000416,0.000416
42,1406.51,0.27791,0.26566,0.50157,0.98115,0.99732,1,0.995,0.95608,0.99732,1,0.995,0.995,0.27158,0.2523,0.49409,0.91211,0.0003764,0.0003764,0.0003764
43,1435.19,0.26325,0.25241,0.49959,0.97904,0.99725,1,0.995,0.95579,0.99725,1,0.995,0.995,0.25618,0.26275,0.50465,0.89245,0.0003368,0.0003368,0.0003368
44,1463.56,0.25503,0.24591,0.44126,0.96805,0.99732,1,0.995,0.97652,0.99732,1,0.995,0.995,0.22757,0.26341,0.44905,0.87845,0.0002972,0.0002972,0.0002972
45,1493.07,0.22576,0.24463,0.41622,0.95183,0.9973,1,0.995,0.99001,0.9973,1,0.995,0.995,0.23438,0.257,0.41299,0.87813,0.0002576,0.0002576,0.0002576
46,1522.28,0.22256,0.24134,0.39364,0.92927,0.99737,1,0.995,0.96346,0.99737,1,0.995,0.995,0.25344,0.25302,0.4074,0.89821,0.000218,0.000218,0.000218
47,1551.2,0.21479,0.23993,0.38919,0.95803,0.99742,1,0.995,0.97853,0.99742,1,0.995,0.995,0.24602,0.25196,0.39924,0.89423,0.0001784,0.0001784,0.0001784
48,1582.03,0.21161,0.33438,0.37837,0.93648,0.99746,1,0.995,0.98153,0.99746,1,0.995,0.995,0.2417,0.25302,0.40633,0.89393,0.0001388,0.0001388,0.0001388
49,1619.97,0.20684,0.24091,0.36638,0.9121,0.99744,1,0.995,0.98701,0.99744,1,0.995,0.995,0.23053,0.25232,0.37657,0.88251,9.92e-05,9.92e-05,9.92e-05
50,1654.95,0.19084,0.234,0.35995,0.88862,0.99749,1,0.995,0.98153,0.99749,1,0.995,0.995,0.22463,0.25228,0.37782,0.87359,5.96e-05,5.96e-05,5.96e-05
